name,uiid,playtime,xp,level,money,driven,drift,skill,created_at
Venna,gAj42knviKfAR1w2vA8dW7OTGNF2,157392388,63025,144,21043,6925715.440000012,4315576.373300007,45.55179669824626,2023-12-21T03:13:42.734Z
swaceierad,SFxPgCNp55W5iMxEwkRKffxXlqY2,86653401,35650,94,14342,4016694.610000003,2463798.396,51.40476519185243,2023-11-22T14:00:54.497Z
Razbiva4,LRc1MXffDcSm6x4LsyxbIirjdAp1,94541709,38824,100,14116,4339856.208146997,3305819.8656,49.39973630692957,2023-06-12T17:42:10.962Z
willie,hKgfkC4S3XYlHBOfjgcW4nmqpfz2,65197286,17113,61,6630,2902875.366469999,1922291.335999998,36.63379220376703,2023-08-23T20:58:51.708Z
Guest5451403,clobjoih803jdqy0ikiny5kbs,45259429,13415,53,6688,1946783.350000002,714296.2123999997,42.6730433925158,2023-10-29T14:06:46.413Z
aLley,clq72wdui00ryrh0kmoci4698,35318794,10230,46,5517,1516175.320000001,419654.0667999999,47.35608259302718,2023-12-15T20:25:20.155Z
Frost57,clqjj36rw01a3pv0iiaqp3wso,49945863,14456,55,6285,2141343.109999999,898498.2007299999,48.03269300106388,2023-12-24T13:31:45.548Z
XeLynn_TR,303909034053074944,27808104,8982,43,7152,1221000.53,584759.782,48.87222184336122,2023-04-20T17:55:43.054Z
ByMoo,lojaIY0tMZYU0Voh1PYmxpxyIqq2,23177041,7744,39,4175,1010907.21,458477.6499999999,28.72985868483698,2023-10-20T07:13:30.094Z
Ryder,807633034819403777,30617270,6943,37,5347,1227183.9429,334959.41182,40.95591260489321,2023-09-15T15:30:52.274Z
poo,v7RrI98RycMwdZyWLVOXecDj1323,24831520,7571,39,3735,1075069.37,411087.9900000001,51.20999607436787,2024-01-08T14:59:54.213Z
carter.weiss,PM9838GK3qgdBqZP1ZXRCIs8whv1,21949037,5781,33,3140,933331.1300000002,223103.7086100001,48.86562670574435,2023-12-07T03:50:57.507Z
Guest9464862,clphpjkjx017hrb0jii44hyz8,40633093,16535,59,6774,1844731.170000001,1175218.32,36.95398760946732,2023-11-28T02:17:12.910Z
Obama Care,LX20bkcm1BUcTNEG2f1Qq2pIaOL2,20425044,6438,35,3289,891281.9400000002,386184.3099999999,41.05688079534429,2023-09-22T16:42:32.126Z
Rockeliate,1085219663903997962,31393091,6158,35,3407,1281608.1,83855.27159999996,46.18017122909065,2024-01-02T00:38:21.937Z
defnotethan,54uaicc4TlarjPec5RJQ0z2vhxS2,17074084,6433,35,3283,769021.9599999996,405790.73,38.67250319116604,2023-10-27T01:08:53.052Z
Humberto11,clr0m7b9x005osm0js67eulrp,44511667,11482,49,4554,2001697.409999999,859563.1249999997,45.05375779996896,2024-01-05T12:31:01.846Z
trimpta,hye6pNMXDnWmY6v5pC5WZybBmY32,20087731,6589,36,3067,826045.78,480313.1199999998,45.54229905751595,2024-01-12T16:13:15.583Z
S0ulDrag0,UjipZE21BPUClNlb6ZMzYaRawV03,22623432,7493,39,3661,996437.7200000001,541663.7500000001,45.51888394725407,2023-11-25T06:28:08.634Z
BenDover,hMel0lfivHUuvzb0Klg5NV8drJ32,21955162,7336,38,3503,944118.2800000001,520073.6399999999,45.89751320344261,2023-10-19T13:00:12.011Z
StupidBud,clqdevl73006jtc0jy3xkjfmb,13880284,4837,30,2422,602087.15,322419.86,40.80215017506793,2023-12-20T06:47:15.472Z
BaIlSucker119428,zVhbSsZqEafT5OqZHH1TvgkfJL22,16895919,5995,34,2898,760681.7199999995,479792.4270000001,25,2023-10-23T01:02:04.409Z
far-winZler,clr51ty7e00mvop0hys6rj969,17704961,4791,30,2747,753570.6199999999,217983.661,44.76538656884274,2024-01-08T14:59:36.938Z
starwarsnerd,XzMn6vO53GTKpz7EkrfEE2iEOCG3,31173674,3239,24,2023,1167757.00223,328588.5826999999,39.32772236511788,2023-07-14T20:28:50.785Z
